Name,Prop,Line,Team,Opponent,Per_Min_Avg,Per_Min_L5,Per_Min_L10,Variance,Confidence%,Samples,Injury_Status,Injury_Multiplier,Matchup_Rank,Matchup_Scalar,Expected_Minutes
Jalen Johnson,o27.5 Points + Rebounds,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Rudy Gobert,o1.5 Q1 Points,0,MIN,DEN,0.64,0.64,0.64,0,5,1,Available,1,2,0.9333333333333333,50
Aaron Gordon,o9.5 Points,0,DEN,MIN,0.64,0.64,0.64,0,5,1,Available,1,26,0.13333333333333333,50
Tim Hardaway Jr.,o8.5 Points,0,DEN,MIN,0.64,0.64,0.64,0,5,1,Available,1,26,0.13333333333333333,50
Miles McBride,o1.5 Three Pointers,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
CJ McCollum,o21.5 Pts + Reb + Ast,0,ATL,NY,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Nickeil Alexander-Walker,o16.5 Points,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
VJ Edgecombe,o10.5 Points,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Tim Hardaway Jr.,o9.5 Points,0,DEN,MIN,0.64,0.64,0.64,0,5,1,Available,1,26,0.13333333333333333,50
Christian Braun,o5.5 Rebounds + Assists,0,DEN,MIN,0.2,0.2,0.2,0,5,1,Available,1,26,0.13333333333333333,160
Naz Reid,o1.5 Q1 Points,0,MIN,DEN,0.64,0.64,0.64,0,5,1,Available,1,2,0.9333333333333333,50
Onyeka Okongwu,o21.5 Pts + Reb + Ast,0,ATL,NY,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Jalen Johnson,o15.5 Rebounds + Assists,0,ATL,NY,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
Tyrese Maxey,o5.5 Q1 Points,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Paul George,o1.5 Three Pointers,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Cameron Johnson,o13.5 Pts + Reb + Ast,0,DEN,MIN,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Nikola Jokic,o5.5 Q1 Points,0,DEN,MIN,0.64,0.64,0.64,0,5,1,Available,1,26,0.13333333333333333,50
Jalen Brunson,o27.5 Points + Rebounds,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Jalen Brunson,o2.5 Rebounds,0,NYK,,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
Mitchell Robinson,o10.5 Points + Rebounds,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Dyson Daniels,o15.5 Points + Rebounds,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Onyeka Okongwu,o14.5 Points + Assists,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
CJ McCollum,o5.5 Rebounds + Assists,0,ATL,NY,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
Jaylen Brown,o25.5 Points,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Tyrese Maxey,o5.5 Assists,0,PHI,BOS,0.16,0.16,0.16,0,5,1,Available,1,1,0.9666666666666667,200
Kelly Oubre Jr.,o10.5 Points,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Cameron Johnson,o14.5 Pts + Reb + Ast,0,DEN,MIN,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Jamal Murray,o33.5 Pts + Reb + Ast,0,DEN,MIN,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Jamal Murray,o26.5 Points + Rebounds,0,DEN,MIN,0.64,0.64,0.64,0,5,1,Available,1,26,0.13333333333333333,50
Rudy Gobert,o18.5 Points + Rebounds,0,MIN,DEN,0.64,0.64,0.64,0,5,1,Available,1,2,0.9333333333333333,50
Onyeka Okongwu,o22.5 Pts + Reb + Ast,0,ATL,NY,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
VJ Edgecombe,o11.5 Points,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Quentin Grimes,o2.5 Rebounds,0,PHI,BOS,0.2,0.2,0.2,0,5,1,Available,1,1,0.9666666666666667,160
Jaden McDaniels,o3.5 Rebounds,0,MIN,DEN,0.2,0.2,0.2,0,5,1,Available,1,2,0.9333333333333333,160
Jalen Johnson,o4.5 Q1 Points,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Jalen Johnson,o0.5 Double Double,0,ATL,NY,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Cameron Johnson,o12.5 Points + Rebounds,0,DEN,MIN,0.64,0.64,0.64,0,5,1,Available,1,26,0.13333333333333333,50
Jamal Murray,o21.5 Points,0,DEN,MIN,0.64,0.64,0.64,0,5,1,Available,1,26,0.13333333333333333,50
Jamal Murray,o5.5 Assists,0,DEN,MIN,0.16,0.16,0.16,0,5,1,Available,1,26,0.13333333333333333,200
Jalen Brunson,o33.5 Pts + Reb + Ast,0,NYK,,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Dyson Daniels,o16.5 Points + Rebounds,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Dyson Daniels,o14.5 Points + Assists,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Dyson Daniels,o8.5 Points,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Dyson Daniels,o9.5 Points,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Onyeka Okongwu,o20.5 Points + Rebounds,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Onyeka Okongwu,o2.5 Q1 Points,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
CJ McCollum,o22.5 Pts + Reb + Ast,0,ATL,NY,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
CJ McCollum,o1.5 Three Pointers,0,ATL,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
