Name,Prop,Line,Team,Opponent,Per_Min_L5,Per_Min_Avg,Variance,Confidence%,Matchup Scalar,Samples
Austin Reaves,u23.5 Points + Rebounds,,LAL,,18.00,20.90,2.00,5.0,0.93,5
Luguentz Dort,u6.5 Points,,OKC,,2.20,2.10,4.20,5.0,1.00,5
Chet Holmgren,u15.5 Points,,OKC,,9.60,8.70,4.20,5.0,1.04,5
Luke Kennard,u7.5 Points,,LAL,,1.00,1.30,4.20,5.0,1.00,5
Marcus Smart,u8.5 Points,,LAL,,2.40,1.50,4.20,5.0,1.00,5
Deandre Ayton,u18.5 Pts + Reb + Ast,,LAL,,1.80,3.40,2.00,5.0,0.83,5
Austin Reaves,u4.5 Assists,,LAL,,18.00,20.90,1.90,5.0,0.93,5
Isaiah Joe,u8.5 Points,,OKC,,3.40,3.20,4.20,5.0,1.01,5
Deandre Ayton,u17.5 Points + Rebounds,,LAL,,1.80,3.40,2.00,5.0,0.83,5
Chet Holmgren,u24.5 Points + Rebounds,,OKC,,9.60,8.70,2.00,5.0,1.05,5
Deandre Ayton,u16.5 Points + Rebounds,,LAL,,1.80,3.40,2.00,5.0,0.83,5
Cason Wallace,u5.5 Points,,OKC,,1.00,1.30,4.20,5.0,1.00,5
Shai Gilgeous-Alexander,u3.5 Rebounds,,OKC,,1.40,1.50,2.10,5.0,0.99,5
Jaxson Hayes,u8.5 Points + Rebounds,,LAL,,3.00,3.10,2.00,5.0,0.99,5
Marcus Smart,u7.5 Points,,LAL,,2.40,1.50,4.20,5.0,1.00,5
Chet Holmgren,u24.5 Pts + Reb + Ast,,OKC,,9.60,8.70,2.00,5.0,1.05,5
Deandre Ayton,u9.5 Points,,LAL,,1.80,3.40,4.20,5.0,0.91,5
Isaiah Joe,u7.5 Points,,OKC,,3.40,3.20,4.20,5.0,1.01,5
Jaxson Hayes,u4.5 Points,,LAL,,3.00,3.10,4.20,5.0,0.99,5
Jake LaRavia,u2.5 Rebounds,,LAL,,3.40,4.50,2.10,5.0,0.91,5
Isaiah Joe,u9.5 Points + Rebounds,,OKC,,3.40,3.20,2.00,5.0,1.02,5
Isaiah Hartenstein,u7.5 Points,,OKC,,1.80,2.00,4.20,5.0,1.00,5
Isaiah Hartenstein,u7.5 Rebounds,,OKC,,1.80,2.00,2.10,5.0,0.98,5
Isaiah Hartenstein,u16.5 Points + Rebounds,,OKC,,1.80,2.00,2.00,5.0,0.97,5
Isaiah Joe,u6.5 Points,,OKC,,3.40,3.20,4.20,5.0,1.01,5
Chet Holmgren,u7.5 Rebounds,,OKC,,9.60,8.70,2.10,5.0,1.05,5
Deandre Ayton,u15.5 Points + Rebounds,,LAL,,1.80,3.40,2.00,5.0,0.83,5
Austin Reaves,u3.5 Rebounds,,LAL,,18.00,20.90,2.10,5.0,0.93,5
Isaiah Hartenstein,u9.5 Points + Assists,,OKC,,1.80,2.00,2.00,5.0,0.97,5
Jaxson Hayes,u7.5 Points + Rebounds,,LAL,,3.00,3.10,2.00,5.0,0.99,5
Deandre Ayton,u8.5 Points,,LAL,,1.80,3.40,4.20,5.0,0.91,5
Shai Gilgeous-Alexander,u27.5 Points,,OKC,,1.40,1.50,4.20,5.0,1.00,5
Deandre Ayton,u7.5 Points,,LAL,,1.80,3.40,4.20,5.0,0.91,5
Luke Kennard,u0.5 Three Pointers,,LAL,,1.00,1.30,2.00,5.0,0.97,5
Isaiah Hartenstein,u9.5 Rebounds + Assists,,OKC,,1.80,2.00,2.00,5.0,0.97,5
Luguentz Dort,u8.5 Points + Rebounds,,OKC,,2.20,2.10,2.00,5.0,1.01,5
Jaxson Hayes,u2.5 Rebounds,,LAL,,3.00,3.10,2.10,5.0,0.99,5
Shai Gilgeous-Alexander,u26.5 Points,,OKC,,1.40,1.50,4.20,5.0,1.00,5
Jaylin Williams,u8.5 Pts + Reb + Ast,,OKC,,4.20,4.00,2.00,5.0,1.02,5
Jaylin Williams,u6.5 Points + Rebounds,,OKC,,4.20,4.00,2.00,5.0,1.02,5
LeBron James,u24.5 Points,,LAL,,1.60,1.50,4.20,5.0,1.00,5
LeBron James,u37.5 Pts + Reb + Ast,,LAL,,1.60,1.50,2.00,5.0,1.01,5
LeBron James,u23.5 Points,,LAL,,1.60,1.50,4.20,5.0,1.00,5
LeBron James,u36.5 Pts + Reb + Ast,,LAL,,1.60,1.50,2.00,5.0,1.01,5
LeBron James,u14.5 Rebounds + Assists,,LAL,,1.60,1.50,2.00,5.0,1.01,5
LeBron James,u35.5 Pts + Reb + Ast,,LAL,,1.60,1.50,2.00,5.0,1.01,5
LeBron James,u22.5 Points,,LAL,,1.60,1.50,4.20,5.0,1.00,5
LeBron James,u21.5 Points,,LAL,,1.60,1.50,4.20,5.0,1.00,5
Rui Hachimura,u16.5 Pts + Reb + Ast,,LAL,,3.00,2.50,2.00,5.0,1.06,5
LeBron James,u13.5 Rebounds + Assists,,LAL,,1.60,1.50,2.00,5.0,1.01,5
LeBron James,u27.5 Points + Rebounds,,LAL,,1.60,1.50,2.00,5.0,1.01,5
LeBron James,u4.5 Q1 Points,,LAL,,1.60,1.50,2.00,5.0,1.01,5
LeBron James,u20.5 Points,,LAL,,1.60,1.50,4.20,5.0,1.00,5
Chet Holmgren,u1.5 Blocks,,OKC,,9.60,8.70,2.00,5.0,1.05,5
Marcus Smart,u2.5 Assists,,LAL,,2.40,1.50,1.90,5.0,1.11,5
LeBron James,u5.5 Rebounds,,LAL,,1.60,1.50,2.10,5.0,1.01,5
Austin Reaves,u18.5 Points,,LAL,,18.00,20.90,4.20,5.0,0.94,5
LeBron James,u19.5 Points,,LAL,,1.60,1.50,4.20,5.0,1.00,5
Rui Hachimura,u2.5 Rebounds,,LAL,,3.00,2.50,2.10,5.0,1.06,5
Austin Reaves,u28.5 Pts + Reb + Ast,,LAL,,18.00,20.90,2.00,5.0,0.93,5
Luke Kennard,u6.5 Points,,LAL,,1.00,1.30,4.20,5.0,1.00,5
Ajay Mitchell,u2.5 Rebounds,,OKC,,13.40,11.50,2.10,5.0,1.08,5
Austin Reaves,u27.5 Pts + Reb + Ast,,LAL,,18.00,20.90,2.00,5.0,0.93,5
Austin Reaves,u8.5 Rebounds + Assists,,LAL,,18.00,20.90,2.00,5.0,0.93,5
Chet Holmgren,u14.5 Points,,OKC,,9.60,8.70,4.20,5.0,1.04,5
Luke Kennard,u5.5 Points,,LAL,,1.00,1.30,4.20,5.0,1.00,5
Cason Wallace,u0.5 Three Pointers,,OKC,,1.00,1.30,2.00,5.0,0.97,5
Ajay Mitchell,u2.5 Assists,,OKC,,13.40,11.50,1.90,5.0,1.08,5
Shai Gilgeous-Alexander,u9.5 Rebounds + Assists,,OKC,,1.40,1.50,2.00,5.0,0.99,5
LeBron James,u0.5 Three Pointers,,LAL,,1.60,1.50,2.00,5.0,1.01,5
Isaiah Hartenstein,u6.5 Points,,OKC,,1.80,2.00,4.20,5.0,1.00,5
Isaiah Hartenstein,u15.5 Points + Rebounds,,OKC,,1.80,2.00,2.00,5.0,0.97,5
Chet Holmgren,u13.5 Points,,OKC,,9.60,8.70,4.20,5.0,1.04,5
Isaiah Hartenstein,u14.5 Points + Rebounds,,OKC,,1.80,2.00,2.00,5.0,0.97,5
Marcus Smart,u0.5 Three Pointers,,LAL,,2.40,1.50,2.00,5.0,1.10,5
